351-400
一百，Yībǎi，one hundred
一千, Yīqiān, one thousand
一万, Wàn, ten thousand
一百万，Yībǎi wàn, one million
裙子, Qúnzǐ, dress/skirt
球，Qiú，ball
队，Duì，team
一起，Yīqǐ，together
其他，Qítā，other
没关系，Méiguānxì，it doesn't matter
干杯, Gānbēi, cheers
放松, Fàngsōng, relax
我同意, Wǒ tóngyì, I agree
欢迎, Huānyíng, welcome
不用谢, Bùyòng xiè, no worries/you're welcome
向右转, Xiàng yòu zhuǎn, turn right
向左转, Xiàng zuǒ zhuǎn, turn left
直走, Zhí zǒu, go straight
跟我来, Gēn wǒ lái, come with me
鸡蛋, Jīdàn, chicken egg
奶酪, Nǎilào, cheese
牛奶, Niúnǎi, milk
鱼, Yú, fish (to eat)
肉, Ròu, meat
蔬菜, Shūcài, vegetable
水果, Shuǐguǒ, fruit
骨头, Gǔtou, bone (in food)
油, Yóu, oil
面包, Miànbāo, bread
糖, Táng, sugar
巧克力, Qiǎokèlì, chocolate
糖果, Tángguǒ, candy
蛋糕, Dàngāo, cake
饮料, Yǐnliào, drinks
苏打水, Sūdǎ shuǐ, soda (water)


301-350
学习, xué xí, to study
门, mén, door
睡觉, shuì jiào, to sleep
买单, mǎi dān, to pay
打扫, dǎ sǎo, to clean
享受, xiǎng shòu, to enjoy
婚礼, hūn lǐ, wedding
写, xiě, to write
房屋, fáng wū, house
庆祝, qìng zhù, to celebrate
学校, xué xiào, school
丈夫, zhàng fu, husband
数, shǔ, to count
汽车, qì chē, （steam？）car
数字, shù zì, number
妻子, qī zi, wife
做梦, zuò mèng, to dream
休息, xiū xi, to rest
修, xiū, to fix
剪, jiǎn, to cut
买， Mǎi，buy
卖， Mài，sell

251-300
拉, lā, to pull
蛇, shé, snake
酷, kù, cool; stylish
前, qián, front; before
外, wài, outside; external
上, shàng, up; above
下, xià, down; below
后, hòu, back; behind; after
内, nèi, inside; internal
战斗, zhàn dòu, to fight; battle
硬, yìng, hard; firm
近, jìn, near; close
远, yuǎn, far
担心, dān xīn, to worry; worried
邪恶, xié è, evil; wicked
接, jiē, to catch; to receive
软, ruǎn, soft
耳朵, ěr duo, ear
疯狂, fēng kuáng, crazy
扔, rēng, to throw
跑, pǎo, to run
乖, guāi, well-behaved
大脑, dà nǎo, brain
聪明, cōng ming, clever; intelligent
甜, tián, sweet
嘴, zuǐ, mouth
按, àn, to press (a button)
忙, máng, busy
酸, suān, sour
旁边, páng biān, beside; next to
吃惊, chī jīng, surprised; astonished
眼睛, yǎn jing, eye
读, dú, to read
矮, ǎi, short (height)
推, tuī, to push (open)
脚, jiǎo, foot
冷, lěng, cold
心脏, xīn zàng, heart
蜘蛛, zhī zhū, spider
奇怪, qí guài, strange
鼻子, bí zi, nose

151-200
动物, dòng wù, animal
更, gèng, more; even more
饱, bǎo, full (after eating)
蝴蝶, hú dié, butterfly
再次, zài cì, again; once more
生气, shēng qì, angry; to get angry
容易, róng yì, easy
猪, zhū, pig
猴子, hóu zi, monkey
其实, qí shí, actually; in fact
生病, shēng bìng, to get sick; ill
虚弱, xū ruò, weak; frail
黄, huáng, yellow
每个, měi gè, every; each
低, dī, low
羊, yáng, sheep; goat
非常, fēi cháng, very; extremely
好笑, hǎo xiào, funny; amusing
直, zhí, straight
更少, gèng shǎo, less; fewer
强壮, qiáng zhuàng, strong; sturdy
富有, fù yǒu, rich; wealthy
骄傲, jiāo ào, proud; arrogant
不公, bù gōng, unfair; unjust
公平, gōng píng, fair; just
鸭, yā, duck
总是, zǒng shì, always
蜜蜂, mì fēng, bee
累, lèi, tired
绿, lǜ, green
已经, yǐ jīng, already
熊, xióng, bear
穷, qióng, poor
健康, jiàn kāng, healthy; health
总统, zǒng tǒng, president
