动物, dòng wù, animal
更, gèng, more; even more
饱, bǎo, full (after eating)
蝴蝶, hú dié, butterfly
再次, zài cì, again; once more
生气, shēng qì, angry; to get angry
容易, róng yì, easy
猪, zhū, pig
猴子, hóu zi, monkey
其实, qí shí, actually; in fact
生病, shēng bìng, to get sick; ill
虚弱, xū ruò, weak; frail
黄, huáng, yellow
每个, měi gè, every; each
低, dī, low
羊, yáng, sheep; goat
非常, fēi cháng, very; extremely
好笑, hǎo xiào, funny; amusing
直, zhí, straight
更少, gèng shǎo, less; fewer
强壮, qiáng zhuàng, strong; sturdy
富有, fù yǒu, rich; wealthy
骄傲, jiāo ào, proud; arrogant
不公, bù gōng, unfair; unjust
公平, gōng píng, fair; just
鸭, yā, duck
总是, zǒng shì, always
蜜蜂, mì fēng, bee
累, lèi, tired
绿, lǜ, green
已经, yǐ jīng, already
熊, xióng, bear
穷, qióng, poor
健康, jiàn kāng, healthy; health
总统, zǒng tǒng, president
