拉, lā, to pull
蛇, shé, snake
酷, kù, cool; stylish
前, qián, front; before
外, wài, outside; external
上, shàng, up; above
下, xià, down; below
后, hòu, back; behind; after
内, nèi, inside; internal
战斗, zhàn dòu, to fight; battle
硬, yìng, hard; firm
近, jìn, near; close
远, yuǎn, far
担心, dān xīn, to worry; worried
邪恶, xié è, evil; wicked
接, jiē, to catch; to receive
软, ruǎn, soft
耳朵, ěr duo, ear
疯狂, fēng kuáng, crazy
扔, rēng, to throw
跑, pǎo, to run
乖, guāi, well-behaved
大脑, dà nǎo, brain
聪明, cōng ming, clever; intelligent
甜, tián, sweet
嘴, zuǐ, mouth
按, àn, to press (a button)
忙, máng, busy
酸, suān, sour
旁边, páng biān, beside; next to
吃惊, chī jīng, surprised; astonished
眼睛, yǎn jing, eye
读, dú, to read
矮, ǎi, short (height)
推, tuī, to push (open)
脚, jiǎo, foot
冷, lěng, cold
心脏, xīn zàng, heart
蜘蛛, zhī zhū, spider
奇怪, qí guài, strange
鼻子, bí zi, nose
