手术, shǒu shù, surgery
秋天, qiū tiān, autumn
冬天, dōng tiān, winter
夏天, xià tiān, summer
警察, jǐng chá, police
地图, dì tú, map
账单, zhàng dān, bill
洗手间, xǐ shǒu jiān, restroom
购物, gòu wù, shopping
救护车, jiù hù chē, ambulance
农场, nóng chǎng, farm
郊区, jiāo qū, suburb
伤口, shāng kǒu, wound
发烧, fā shāo, fever
春天, chūn tiān, spring
公园, gōng yuán, park
患者, huàn zhě, patient
村庄, cūn zhuāng, village
教堂, jiào táng, church
厕所, cè suǒ, toilet (public)
公寓, gōng yù, apartment
建筑, jiàn zhù, building
健康, jiàn kāng, health
大学, dà xué, university
预约, yù yuē, appointment
意外, yì wài, accident
枪, qiāng, gun
餐厅, cān tīng, restaurant
感冒, gǎn mào, cold (sickness)
健身房, jiàn shēn fáng, gym
超市, chāo shì, supermarket
药, yào, medicine
国家, guó jiā, country
药片, yào piàn, pill
酒吧, jiǔ bā, bar
消防队, xiāo fáng duì, firefighters
市场, shì chǎng, market
